uid;time;speed_upload;speed_download;bytes_download;bytes_upload
399;2020-04-13 02:44:48.427656+02;;;;
400;2020-04-13 03:14:49.748396+02;5655;15431;13504710;4220889
401;2020-04-13 03:44:50.68042+02;;;;
402;2020-04-13 04:14:50.769033+02;5378;16552;14493599;4166060
403;2020-04-13 04:44:57.802047+02;5031;11310;9896217;4104696
404;2020-04-13 05:15:06.297185+02;5241;10087;8827157;3785468
405;2020-04-13 05:45:07.943792+02;5032;15549;13636518;4115475
406;2020-04-13 06:15:08.985065+02;5455;13619;11918014;4797702
407;2020-04-13 06:45:10.074102+02;5378;12520;10957637;4437873
408;2020-04-13 07:15:10.67345+02;5010;7048;6169601;4445553
409;2020-04-13 07:45:10.639865+02;5033;10248;8983082;4489748
410;2020-04-13 08:15:17.312862+02;4566;6191;5492806;3984428
411;2020-04-13 08:45:19.874805+02;4350;4916;4306076;3878669
412;2020-04-13 09:15:28.660392+02;4937;3672;3214333;4185240
413;2020-04-13 09:45:31.763354+02;5486;3744;3277857;3325305
414;2020-04-13 10:15:31.502292+02;4000;8131;7126221;3495872
415;2020-04-13 10:45:31.670659+02;4777;7354;6440219;3293892
416;2020-04-13 11:15:34.414395+02;4745;11377;9959779;4238490
417;2020-04-13 11:45:35.482743+02;5411;8253;7232340;4833977
418;2020-04-13 12:15:39.843474+02;5072;7545;6634195;4525151
419;2020-04-13 12:45:41.906916+02;6244;8135;7143416;3154470
420;2020-04-13 13:15:44.700895+02;4642;6458;5658571;4087993
421;2020-04-13 13:45:43.794603+02;5652;6024;5275836;3838212
422;2020-04-13 14:15:50.633366+02;5640;4050;3546940;4336309
423;2020-04-13 14:45:57.374014+02;6046;9695;8484695;4337647
424;2020-04-13 15:16:06.148575+02;5512;10044;8797781;4824397
425;2020-04-13 15:46:05.290746+02;6143;5253;4598215;5174450
426;2020-04-13 16:16:06.745965+02;;;;
427;2020-04-13 16:46:08.717645+02;3805;4423;3872838;2641804
428;2020-04-13 17:16:08.488188+02;4715;4856;4250356;4013902
429;2020-04-13 17:46:11.833841+02;5709;1551;1361166;3831621
430;2020-04-13 18:16:12.795325+02;3923;3330;2916791;3475238
431;2020-04-13 18:46:13.644062+02;3782;7799;6842598;3314115
432;2020-04-13 19:16:17.734004+02;5102;8303;7297259;4134711
433;2020-04-13 19:46:17.754236+02;;;;
434;2020-04-13 20:16:17.881194+02;3154;2627;2300066;2820193
435;2020-04-13 20:46:23.97152+02;1984;1569;1374273;1511326
436;2020-04-13 21:16:34.344646+02;3662;3504;3066887;2913956
437;2020-04-13 21:46:33.585827+02;3998;4871;4264372;3195730
438;2020-04-13 22:16:43.273154+02;5725;4303;3772000;4480558
439;2020-04-13 22:46:50.378035+02;5499;1575;1388602;4514579
440;2020-04-13 23:16:49.924711+02;3180;6768;5923907;2770414
441;2020-04-13 23:46:52.272697+02;;;;
442;2020-04-14 00:16:57.837759+02;4836;6606;5780978;4195113
443;2020-04-14 00:46:58.176991+02;5393;6262;5480630;3623020
444;2020-04-14 01:17:06.628139+02;4833;5303;4656911;3999165
445;2020-04-14 01:47:12.893288+02;4378;7050;6170477;3823150
446;2020-04-14 02:17:18.638828+02;3681;7198;6300328;3302653
447;2020-04-14 02:47:19.831539+02;5396;5099;4471473;4386993
448;2020-04-14 03:17:20.043663+02;5261;7072;6213799;4685981
